"Story","Title","Result","Date","Stability","Duration (s)"
"Stores CRUD test","This will create a New Store","SUCCESS","2022-06-07T16:02:11.631+02:00[Europe/Paris]","0.0","0.08"
"Stores CRUD test","Verify if the Store was added to the application","SUCCESS","2022-06-07T16:02:11.710+02:00[Europe/Paris]","0.0","0.03"
"Stores CRUD test","Update the Store information","SUCCESS","2022-06-07T16:02:11.737+02:00[Europe/Paris]","0.0","0.05"
"Stores CRUD test","Delete the Store by ID","SUCCESS","2022-06-07T16:02:11.783+02:00[Europe/Paris]","0.0","0.03"
"Stores CRUD test","1. Verify the if the total is equal to 1563","SUCCESS","2022-06-07T16:02:11.819+02:00[Europe/Paris]","0.0","0.12"
"Stores CRUD test","2. Verify the if the stores of limit is equal to 10","SUCCESS","2022-06-07T16:02:11.941+02:00[Europe/Paris]","0.0","0.08"
"Stores CRUD test","3. Check the single ‘Name’ in the Array list (Inver Grove Heights)","SUCCESS","2022-06-07T16:02:12.025+02:00[Europe/Paris]","0.0","0.09"
"Stores CRUD test","4. Check the multiple ‘Names’ in the ArrayList (Roseville, Burnsville, Maplewood)","SUCCESS","2022-06-07T16:02:12.115+02:00[Europe/Paris]","0.0","0.1"
"Stores CRUD test","5. Verify the storied=7 inside storeservices of the third store of second services","SUCCESS","2022-06-07T16:02:12.217+02:00[Europe/Paris]","0.0","0.07"
"Stores CRUD test","6. Check hash map values ‘createdAt’ inside storeservices map where store name = Roseville","SUCCESS","2022-06-07T16:02:12.293+02:00[Europe/Paris]","0.0","0.09"
"Stores CRUD test","7. Verify the state = MN of forth store","SUCCESS","2022-06-07T16:02:12.383+02:00[Europe/Paris]","0.0","0.05"
"Stores CRUD test","8. Verify the store name = Rochester of 9th stor","SUCCESS","2022-06-07T16:02:12.434+02:00[Europe/Paris]","0.0","0.06"
"Stores CRUD test","9. Verify the storeId = 11 for the 6th store","SUCCESS","2022-06-07T16:02:12.493+02:00[Europe/Paris]","0.0","0.06"
"Stores CRUD test","10. Verify the serviceId = 4 for the 7th store of forth service","SUCCESS","2022-06-07T16:02:12.552+02:00[Europe/Paris]","0.0","0.05"
"Stores CRUD test","Extracting some data from Response","SUCCESS","2022-06-07T16:02:12.603+02:00[Europe/Paris]","0.0","0.43"
